0 on 12,37 20 18 20,24 23 20 96
1 on 15,24 18 20 18,23 20 29 98
0 on 14,41 21 19 20,27 27 29 93
1 on 19,40 20 20 20,24 22 35 97
1 on 19,41 22 21 22,27 29 42 92
1 on 19,51 22 21 22,28 36 47 88
0 on 18,52 22 19 20,36 33 31 88
1 on 20,61 23 22 24,28 44 52 88
0 on 18,53 22 19 21,45 39 33 88
0 on 19,70 24 21 21,55 39 42 88
0 on 20,77 25 22 20,51 34 37 86
0 on 18,86 25 23 21,54 35 33 86
1 on 20,57 24 23 25,32 45 54 84
1 on 19,60 25 22 24,30 40 54 84
1 on 17,50 24 22 25,32 36 53 83
0 on 20,93 24 22 21,56 32 37 86
1 on 16,47 25 23 26,36 31 55 83
1 on 12,31 25 22 24,31 23 50 83
1 on 9,11 23 22 24,21 15 45 83
0 on 20,98 25 23 20,55 31 35 85
1 on 9,0 21 21 23,19 6 37 83
0 on 19,78 25 23 20,55 22 33 84
0 on 15,63 25 23 18,51 20 31 84
1 on 6,0 19 19 22,11 4 31 79
1 on 6,10 19 20 23,14 13 39 79
1 on 10,22 20 22 25,23 20 39 79
0 on 13,46 25 23 18,49 12 25 84
1 on 13,37 21 24 27,23 25 39 78
1 on 15,56 22 24 28,33 34 47 78
1 on 19,61 24 26 30,34 41 48 74
1 on 20,69 24 25 31,29 40 52 74
1 on 19,62 24 26 30,26 36 53 74
0 on 11,28 23 21 16,48 8 18 84
0 on 15,28 23 21 16,50 14 23 83
1 on 20,56 24 25 29,26 39 56 72
0 on 16,36 25 23 16,55 18 32 79
0 on 17,49 25 24 16,55 26 35 79
1 on 21,52 24 24 29,29 44 57 69
0 on 19,64 26 24 18,62 30 39 79
1 on 18,34 23 23 29,27 35 49 69
13 on 15,21 20 18 20,29 28 26 98
15 on 12,29 18 20 18,23 20 24 97
18 on 15,28 18 18 18,30 29 26 100
7 on 12,39 20 19 20,27 30 29 100
19 on 16,37 18 19 18,23 22 24 96
